author,title,description,url,source,category,language,country,Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Log_Return,MA_50,Open_Normalized,High_Normalized,Low_Normalized,Close_Normalized,MA_200,RSI,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Price_Momentum,Volatility,BB_Band_Width,Distance_to_BB_Upper,Distance_to_BB_Lower,RSI_Rolling_Avg,MACD_Rolling_Avg,Close_Lag_1,Close_Lag_5,Volume_Lag_1,Volume_Lag_5,Close_Zscore,Volume_Zscore,Price_Direction,Pct_Change_from_MA_50,sentiment_score,sentiment,MA_500,Momentum,EMA_50,EMA_200,ATR,Stochastic,OBV,Williams_R
Reuters,Soaring energy prices put spotlight on Europe’s drafty buildings,"BRUSSELS &#8212; As European governments scramble to shield households from energy price spikes, advocates say renovating drafty buildings could help pull down consumer bills and cut countries&#8217; reliance on fossil fuels. Buildings produce more than a third of the European Union&#8217;s greenhouse gas emissions, with around 75% of their heating provided by fossil fuels. To [&#8230;]",https://nationalpost.com/pmn/environment-pmn/soaring-energy-prices-put-spotlight-on-europes-drafty-buildings,nationalpost,general,en,us,10/25/2021,1236.81958,1236.81958,1186.054565,1200.730225,1184.379761,17198417,-0.00974352,-0.009791299,1210.085536,1.348427646,1.348427646,1.2930817,1.309081661,988.8912378,54.63623757,30.0093396,36.94427459,-6.934934988,1207.272034,1271.576491,1142.967577,-3.907527366,0.016643763,128.6089139,-70.8462657,57.7626482,70.29649619,38.26343985,1212.544678,1249.557007,11027475,13594479,0.97335529,0.128149216,1,6.997873473,0.4019,1,1210.085536,-9.5531,1210.154409,1210.254438,50.765015,20.12652935,-6170942,-79.87347065
Unknown,"Stocks in news: Reliance Industries, ICICI Bank, Tech Mahindra, MCX and more",The market closed lower for the fourth straight session on October 22 despite holding on to opening gains in the first half of trading session.,https://www.businesstoday.in/markets/stocks/story/stocks-in-news-reliance-industries-icici-bank-tech-mahindra-mcx-and-more-310300-2021-10-25?utm_source=rssfeed,businesstoday,general,en,in,10/25/2021,1236.81958,1236.81958,1186.054565,1200.730225,1184.379761,17198417,-0.00974352,-0.009791299,1209.461849,1.348427646,1.348427646,1.2930817,1.309081661,988.8912378,54.63623757,30.0093396,36.94427459,-6.934934988,1207.272034,1271.576491,1142.967577,-3.907527366,0.016643763,128.6089139,-70.8462657,57.7626482,70.29649619,38.26343985,1212.544678,1249.557007,11027475,13594479,0.97335529,0.128149216,1,6.997873473,0.2732,1,1209.461849,-9.5531,1209.784833,1210.15967,50.765015,20.12652935,-6170942,-79.87347065
Reliance Securities,"Rupee And Bond Update - October 25, 2021: Reliance Securities ","Rupee And Bond Update - October 25, 2021: Reliance Securities ",https://www.bloombergquint.com/research-reports/rupee-and-bond-update-october-25-2021-reliance-securities,Bloomberg | Latest And Live Business,business,en,us,10/25/2021,1236.81958,1236.81958,1186.054565,1200.730225,1184.379761,17198417,-0.00974352,-0.009791299,1208.916122,1.348427646,1.348427646,1.2930817,1.309081661,988.8912378,54.63623757,30.0093396,36.94427459,-6.934934988,1207.272034,1271.576491,1142.967577,-3.907527366,0.016643763,128.6089139,-70.8462657,57.7626482,70.29649619,38.26343985,1212.544678,1249.557007,11027475,13594479,0.97335529,0.128149216,1,6.997873473,0.296,1,1208.916122,-9.5531,1209.429751,1210.065844,50.765015,20.12652935,-6170942,-79.87347065
ICICI Direct,Reliance Industries Q2 Review - Accelerated Growth Ambition To Drive Performance: ICICI Direct,Reliance Industries Q2 Review - Accelerated Growth Ambition To Drive Performance: ICICI Direct,https://www.bloombergquint.com/research-reports/reliance-industries-q2-review-accelerated-growth-ambition-to-drive-performance-icici-direct,Bloomberg | Latest And Live Business,business,en,us,10/25/2021,1236.81958,1236.81958,1186.054565,1200.730225,1184.379761,17198417,-0.00974352,-0.009791299,1208.434599,1.348427646,1.348427646,1.2930817,1.309081661,988.8912378,54.63623757,30.0093396,36.94427459,-6.934934988,1207.272034,1271.576491,1142.967577,-3.907527366,0.016643763,128.6089139,-70.8462657,57.7626482,70.29649619,38.26343985,1212.544678,1249.557007,11027475,13594479,0.97335529,0.128149216,1,6.997873473,0.3818,1,1208.434599,-9.5531,1209.088593,1209.972953,50.765015,20.12652935,-6170942,-79.87347065
Prabhudas Lilladher,Reliance Industries Q2 Review - Business Momentum Gathers Speed: Prabhudas Lilladher,Reliance Industries Q2 Review - Business Momentum Gathers Speed: Prabhudas Lilladher,https://www.bloombergquint.com/research-reports/reliance-industries-q2-review-business-momentum-gathers-speed-prabhudas-lilladher,Bloomberg | Latest And Live Business,business,en,us,10/25/2021,1236.81958,1236.81958,1186.054565,1200.730225,1184.379761,17198417,-0.00974352,-0.009791299,1208.006578,1.348427646,1.348427646,1.2930817,1.309081661,988.8912378,54.63623757,30.0093396,36.94427459,-6.934934988,1207.272034,1271.576491,1142.967577,-3.907527366,0.016643763,128.6089139,-70.8462657,57.7626482,70.29649619,38.26343985,1212.544678,1249.557007,11027475,13594479,0.97335529,0.128149216,1,6.997873473,0,0,1208.006578,-9.5531,1208.760814,1209.880985,50.765015,20.12652935,-6170942,-79.87347065
zee business,"Stocks in Focus on October 25: Reliance Industries, Tata Consumer Products, Asian Paints, Steel Stocks to NBFCs and more","Declining for the fourth day in a row on October 22, 2021, the benchmark S&P BSE Sensex fell by 101.88 points, or 0.17%, to end the day at 60,821.62. ",https://www.zeebiz.com/market-news/news-stocks-in-focus-on-october-25-reliance-industries-tata-consumer-products-asian-paints-steel-stocks-to-nbfcs-and-more-168686,Zee Business,business,en,us,10/25/2021,1236.81958,1236.81958,1186.054565,1200.730225,1184.379761,17198417,-0.00974352,-0.009791299,1207.623612,1.348427646,1.348427646,1.2930817,1.309081661,988.8912378,54.63623757,30.0093396,36.94427459,-6.934934988,1207.272034,1271.576491,1142.967577,-3.907527366,0.016643763,128.6089139,-70.8462657,57.7626482,70.29649619,38.26343985,1212.544678,1249.557007,11027475,13594479,0.97335529,0.128149216,1,6.997873473,0,0,1207.623612,-9.5531,1208.445889,1209.789933,50.765015,20.12652935,-6170942,-79.87347065
Unknown,New Zealand insurance stress test highlights reliance on reinsurance,(marketscreener.com) The Reserve Bank of NewZealand said on Wednesday that its first stress test of theinsurance sector highlighted that the industry was reliant onoffshore reinsurance providers. The 2021 General Insurance Industry Stress Test covered New Zealand's five largest incorporated general insurerswho together accounted for over NZ$5...https://www.marketscreener.com/news/latest/New-Zealand-insurance-stress-test-highlights-reliance-on-reinsurance--36790962/?utm_medium=RSS&utm_content=20211026,https://www.marketscreener.com/news/latest/New-Zealand-insurance-stress-test-highlights-reliance-on-reinsurance--36790962/?utm_medium=RSS&utm_content=20211026,4-traders,general,en,us,10/26/2021,1207.79126,1231.696899,1201.353271,1228.074097,1211.35144,9750178,0.022772702,0.022517275,1208.646137,1.316779869,1.342842705,1.30976093,1.338892988,990.4377234,60.99008702,28.6302509,35.28146985,-6.651218949,1210.424078,1272.271011,1148.577146,-2.591650866,0.01683209,123.6938647,-44.19691382,79.49695092,69.08551274,37.70538368,1200.730225,1260.748291,17198417,8833409,1.215756523,-0.639882129,0,8.941194053,-0.6249,-1,1208.646137,17.790772,1209.215622,1209.971865,30.343628,57.62652884,3579236,-42.37347116
Crusherrr,Draftkings Dispute : Nominated Post,"*Originally posted on 10/26/2021:* ---Quote (Originally by vampire assassin)--- Are you a brain donor? Win or lose, he played because of the offer. Detrimental reliance. This is a slam dunk theft. To OP: If DK...",https://www.sportsbookreview.com/forum/nominated-posts/3679304-draftkings-dispute-nominated-post.html,sbrforum,general,en,us,10/26/2021,1207.79126,1231.696899,1201.353271,1228.074097,1211.35144,9750178,0.022772702,0.022517275,1209.571278,1.316779869,1.342842705,1.30976093,1.338892988,990.4377234,60.99008702,28.6302509,35.28146985,-6.651218949,1210.424078,1272.271011,1148.577146,-2.591650866,0.01683209,123.6938647,-44.19691382,79.49695092,69.08551274,37.70538368,1200.730225,1260.748291,17198417,8833409,1.215756523,-0.639882129,0,8.941194053,0.2263,1,1209.571278,15.529419,1209.95517,1210.151986,30.343628,57.62652884,3579236,-42.37347116
ABMN Staff,Reliance Steel & Aluminum Co. (NYSE:RS) Receives Average Rating of “Buy” from Analysts,"Reliance Steel & Aluminum Co. (NYSE:RS) has received an average rating of &#8220;Buy&#8221; from the nine analysts that are covering the stock, MarketBeat reports. Three investment analysts have rated the stock with a hold recommendation and five have given a buy recommendation to the company. The average 12-month target price among analysts that have updated [&#8230;]",https://www.americanbankingnews.com/2021/10/26/reliance-steel-aluminum-co-nysers-receives-average-rating-of-buy-from-analysts.html,americanbankingnews,general,en,us,10/26/2021,1207.79126,1231.696899,1201.353271,1228.074097,1211.35144,9750178,0.022772702,0.022517275,1210.412315,1.316779869,1.342842705,1.30976093,1.338892988,990.4377234,60.99008702,28.6302509,35.28146985,-6.651218949,1210.424078,1272.271011,1148.577146,-2.591650866,0.01683209,123.6938647,-44.19691382,79.49695092,69.08551274,37.70538368,1200.730225,1260.748291,17198417,8833409,1.215756523,-0.639882129,0,8.941194053,0,0,1210.412315,15.529419,1210.665717,1210.330316,30.343628,57.62652884,3579236,-42.37347116
Unknown,CONNECTED TRANSACTIONS-ENTERING INTO THE EQUITY TRANSFER AGREEMENTS REGARDING THE ACQUISITION OF INTEREST IN A SUBSIDIARY&#65288;H SHARES&#65289;,"(marketscreener.com) Hong Kong Exchanges and Clearing Limited and The Stock Exchange of Hong Kong Limited take no responsibility for the contents of this announcement, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or...https://www.marketscreener.com/quote/stock/SHANGHAI-FOSUN-PHARMACEUT-6548924/news/CONNECTED-TRANSACTIONS-ENTERING-INTO-THE-EQUITY-TRANSFER-AGREEMENTS-REGARDING-THE-ACQUISITION-OF-INT-36787906/?utm_medium=RSS&utm_content=20211026",https://www.marketscreener.com/quote/stock/SHANGHAI-FOSUN-PHARMACEUT-6548924/news/CONNECTED-TRANSACTIONS-ENTERING-INTO-THE-EQUITY-TRANSFER-AGREEMENTS-REGARDING-THE-ACQUISITION-OF-INT-36787906/?utm_medium=RSS&utm_content=20211026,4-traders,general,en,us,10/26/2021,1207.79126,1231.696899,1201.353271,1228.074097,1211.35144,9750178,0.022772702,0.022517275,1211.180218,1.316779869,1.342842705,1.30976093,1.338892988,990.4377234,60.99008702,28.6302509,35.28146985,-6.651218949,1210.424078,1272.271011,1148.577146,-2.591650866,0.01683209,123.6938647,-44.19691382,79.49695092,69.08551274,37.70538368,1200.730225,1260.748291,17198417,8833409,1.215756523,-0.639882129,0,8.941194053,-0.8519,-1,1211.180218,15.529419,1211.348398,1210.506871,30.343628,57.62652884,3579236,-42.37347116
